datetime,irr_256,irr_284,irr_304,irr_1175,irr_1216,irr_1335,irr_1405,MgII_Index,n_samples_irr_256,n_samples_irr_284,n_samples_irr_304,n_samples_irr_1175,n_samples_irr_1216,n_samples_irr_1335,n_samples_irr_1405,n_samples_MgII_Index
2024-08-10 00:00:00+00:00,0.0001964917222222222,0.0002314193388888889,0.0007035560166666666,0.00012878891666666666,0.010940344427777778,0.00033222440555555555,0.00020638586666666667,0.4121705806666667,180,180,180,180,180,180,180,180
2024-08-10 03:00:00+00:00,0.0001960698611111111,0.00023312689444444446,0.0006910386888888889,0.00012561754444444443,0.010859530594444444,0.00032457438333333334,0.00020206922222222224,0.41135563766666666,180,180,180,180,180,180,180,180
2024-08-10 06:00:00+00:00,0.00019651026111111109,0.00023087359444444444,0.0006850065333333333,0.00012420111666666667,0.010712340916666667,0.0003213327222222222,0.00020112966111111112,0.4111199715555556,180,180,180,180,180,180,180,180
2024-08-10 09:00:00+00:00,0.00019904681666666667,0.0002305696388888889,0.0006872477666666667,0.00012570703333333332,0.010693330261111111,0.00032158457777777775,0.00020392068333333334,0.41203940783333337,180,180,180,180,180,180,180,180
2024-08-10 12:00:00+00:00,0.00019901843333333333,0.00022576741111111112,0.0006859576277777777,0.00012510892777777778,0.010801577877777777,0.0003204717,0.0001992015666666667,0.4115785275555556,180,180,180,180,180,180,180,180
2024-08-10 15:00:00+00:00,0.0001995217888888889,0.00022638600555555555,0.0006857770277777777,0.00012486552777777777,0.010827822394444445,0.00031965287222222226,0.00019934453333333334,0.4114400527222222,180,180,180,180,180,180,180,180
2024-08-10 18:00:00+00:00,0.00019954877528089885,0.0002264443202247191,0.0006841571797752808,0.0001257547752808989,0.010833452337078652,0.0003210000730337079,0.0002022558988764045,0.41141284775280895,178,178,178,178,178,178,178,178
2024-08-10 21:00:00+00:00,0.00019974745,0.00022369926111111109,0.0006860681166666667,0.00012729973333333334,0.010857066850000001,0.0003223199444444445,0.0002018615888888889,0.41117368555555556,180,180,180,180,180,180,180,180
2024-08-11 00:00:00+00:00,0.00019968704999999998,0.00022358727777777775,0.0006883847444444445,0.00012739842777777778,0.010874633633333334,0.00032301311666666665,0.00020419697777777777,0.4107270708333334,180,180,180,180,180,180,180,180
2024-08-11 03:00:00+00:00,0.00020045758888888887,0.00022205735555555557,0.0006819974888888888,0.00012691491111111112,0.010828110211111111,0.0003198744833333333,0.00020612625555555556,0.41008426116666663,180,180,180,180,180,180,180,180
2024-08-11 06:00:00+00:00,0.00019885084444444445,0.00022048029444444442,0.0006750038666666667,0.0001253882722222222,0.010680409055555555,0.00031897337222222224,0.00020209705555555556,0.41046041372222225,180,180,180,180,180,180,180,180
2024-08-11 09:00:00+00:00,0.00019853593333333334,0.00021926553333333334,0.00067316625,0.00012631255555555556,0.010632881777777778,0.0003210876277777778,0.00020155439444444445,0.4110434183333333,180,180,180,180,180,180,180,180
