datetime,E_J2_mean,n_samples,dEdt_Jkg_per_day,dadt_m_per_day,se_E_Jkg,se_dEdt_Jkg_per_day
2024-08-03 06:00:00+00:00,-29012865.117607985,12,593.132146447897,140.2970490446848,114.24471534383176,551.9573472342403
2024-08-03 09:00:00+00:00,-29012797.200533293,14,-965.939046576619,-228.37884635030426,104.5804173029019,597.5161405903899
2024-08-03 12:00:00+00:00,-29013106.60236963,18,-1923.3767409324646,-455.05038458610625,96.24053801612921,699.7097442273038
2024-08-03 15:00:00+00:00,-29013278.044718526,18,-1013.6547461748122,-239.80148416909321,140.2231942374935,600.2115729231828
2024-08-03 18:00:00+00:00,-29013360.016056173,15,336.7718504667282,79.67849746641797,115.12440926796786,797.9886080061567
2024-08-03 21:00:00+00:00,-29013193.85175591,18,169.2927619665861,40.0417142538966,141.903380701657,594.6857354362487
2024-08-04 00:00:00+00:00,-29013317.69286568,18,-1755.8569471091032,-415.34765611356676,94.07212996637708,717.5039963346858
2024-08-04 03:00:00+00:00,-29013632.815992687,18,-1424.3180874586103,-336.9608914006378,109.72319532672158,587.1537782049788
2024-08-04 06:00:00+00:00,-29013673.772387546,15,68.13538667559624,16.114957346853807,112.68221606519329,589.8459117066682
2024-08-04 09:00:00+00:00,-29013615.782146018,14,-88.09518232941628,-20.842994944881003,98.51755112471594,584.8989212759079
2024-08-04 12:00:00+00:00,-29013695.796183128,18,-2330.879492625594,-551.2864096672907,93.1900742541535,588.6332089355311
2024-08-04 15:00:00+00:00,-29014198.502019174,15,-1858.8034782111645,-439.8161606900509,109.31540621864686,631.9265077188907
2024-08-04 18:00:00+00:00,-29014160.49705268,16,337.3522660881281,79.82454443209163,127.56882263259872,547.9703485166718
2024-08-04 21:00:00+00:00,-29014114.163952652,18,-54.60675023496152,-12.918357070241449,82.56579734729692,679.4458858750613
2024-08-05 00:00:00+00:00,-29014174.14874024,18,-1238.305198609829,-292.90712315060307,112.15665375565884,632.4280009471481
2024-08-05 03:00:00+00:00,-29014423.740252305,18,-1554.2796254307032,-367.5938391358533,134.83587294292445,674.5913921770224
2024-08-05 06:00:00+00:00,-29014562.718646597,14,-600.9585253894329,-142.11566013326092,125.94832935887474,740.6172743080754
2024-08-05 09:00:00+00:00,-29014573.979883652,14,94.98336635529995,22.465201759308858,126.89132773928927,655.1594511079217
2024-08-05 12:00:00+00:00,-29014538.97280501,18,-1648.380323305726,-389.9505421163368,104.70977738592747,744.1152168318483
2024-08-05 15:00:00+00:00,-29014986.07496448,18,-1212.5369100421667,-286.8084892402429,136.0342123864602,573.7441745373567
2024-08-05 18:00:00+00:00,-29014842.10703252,15,936.8224076479673,221.6313479105025,98.02938913030913,647.0306155488422
2024-08-05 21:00:00+00:00,-29014751.869362567,18,-211.24869613349435,-49.9604980441546,87.52274933690117,542.9142008393846
2024-08-06 00:00:00+00:00,-29014894.919206552,18,-1368.4066920131445,-323.67097963148154,93.87480071246576,489.53929365825076
2024-08-06 03:00:00+00:00,-29015093.97103557,18,-747.7537430226803,-176.88581343760993,85.54421868673336,619.751611128856
2024-08-06 06:00:00+00:00,-29015081.857642308,16,7.390610069036483,1.747752781244923,123.26100563335363,554.9478570329013
2024-08-06 09:00:00+00:00,-29015092.123383053,15,-417.65415938198566,-98.74979432847763,109.22514317163623,683.9149097475488
2024-08-06 12:00:00+00:00,-29015186.271182153,18,-1192.126582249999,-281.9262724084878,118.4924036645039,682.2683719820699
2024-08-06 15:00:00+00:00,-29015390.155028615,17,-2231.6218688189983,-527.8387723640142,131.00763837302418,605.9713927212009
2024-08-06 18:00:00+00:00,-29015744.176649358,13,-32.38622424006462,-7.665552749721914,94.39085402510011,650.0842077120274
2024-08-06 21:00:00+00:00,-29015398.251584675,18,722.7417362630367,170.96172668534368,96.17739343374211,519.2496568742661
2024-08-07 00:00:00+00:00,-29015563.491215292,18,-2215.131458863616,-523.8993103359883,89.1158210513988,588.5280845270875
2024-08-07 03:00:00+00:00,-29015952.03444939,18,-953.9578053504229,-225.58995373561888,111.3451419443675,658.4452165119537
2024-08-07 06:00:00+00:00,-29015801.98066663,16,536.1228316575289,126.756820270691,138.40249956215447,638.1472058214667
2024-08-07 09:00:00+00:00,-29015818.003741477,12,-48.536732107400894,-11.477345552780426,114.25519849878928,689.7563840389058
2024-08-07 12:00:00+00:00,-29015814.114849657,18,-1623.2385447472334,-383.967568090863,102.85907810008548,620.3041175566527
2024-08-07 15:00:00+00:00,-29016223.813377663,18,-2404.1487839967012,-568.603308023575,104.85382447536601,693.4299073515203
2024-08-07 18:00:00+00:00,-29016415.152045656,16,344.13516350090504,81.39113896181745,139.54506378943202,513.5990027324415
2024-08-07 21:00:00+00:00,-29016137.77958679,18,619.4414377510548,146.48703268698014,74.10918612678213,619.5943440567827
2024-08-08 00:00:00+00:00,-29016260.29168622,18,-1925.906789958477,-455.50742146523544,67.23650140511867,536.4027990219926
2024-08-08 03:00:00+00:00,-29016619.256284278,18,-703.4186617136002,-166.38095640700772,111.76236489328697,581.9535894247824
2024-08-08 06:00:00+00:00,-29016436.146351647,14,-20.628907814621925,-4.876928765126252,129.01986918329183,643.4969516083322
2024-08-08 09:00:00+00:00,-29016624.41351123,17,-904.6926299482585,-213.92423824028714,115.71384625029017,702.7908684302307
2024-08-08 12:00:00+00:00,-29016662.319509134,18,-1494.997939556837,-353.51921061960036,119.2625723046993,664.1772779193698
2024-08-08 15:00:00+00:00,-29016998.16299612,17,-1430.4501680880785,-338.3204425660136,119.08409556900615,904.4826398862992
2024-08-08 18:00:00+00:00,-29017019.932051156,17,72.25636099278927,17.090348281247834,192.11192496367045,636.9507341465412
2024-08-08 21:00:00+00:00,-29016980.098905873,18,-374.4932909458876,-88.57387209423152,105.71479575076246,877.2061137996455
2024-08-09 00:00:00+00:00,-29017113.555373892,18,-1511.8859316259623,-357.5276154219694,105.76468535016949,642.1571814679883
2024-08-09 03:00:00+00:00,-29017358.07038878,18,-754.8671246320008,-178.49157914842274,120.81906851282415,595.546938661946
2024-08-09 06:00:00+00:00,-29017302.27215505,17,-308.6973374634981,-72.99897316131538,104.79070136291017,583.3026422388309
2024-08-09 09:00:00+00:00,-29017435.244723145,16,-1140.1324609667063,-269.6474040606324,81.65706314440044,575.7039507083956
2024-08-09 12:00:00+00:00,-29017587.305270292,18,-1912.6908328682184,-452.37589576158507,98.65900281625494,541.0083388580059
2024-08-09 15:00:00+00:00,-29017913.417431362,17,-1642.3974630832672,-388.43895759681754,107.82045473030654,731.5857507966584
2024-08-09 18:00:00+00:00,-29017997.904636063,5,,,154.00489630640516,
2024-08-10 09:00:00+00:00,-29018344.828367725,6,,,233.59479215538093,
2024-08-10 12:00:00+00:00,-29018501.928041346,18,-2023.9755791425705,-478.6262391481528,123.85588966987198,1030.6047451734746
2024-08-10 15:00:00+00:00,-29018850.82226251,16,-1440.9204476475716,-340.859648525498,108.70881692054489,650.5602802529334
2024-08-10 18:00:00+00:00,-29018862.15815326,16,497.55923533439636,117.68025410943532,105.41115208675951,581.4738927054575
2024-08-10 21:00:00+00:00,-29018726.432453677,18,-795.2162006348372,-188.0237627230505,96.51106733096896,533.937132901958
2024-08-11 00:00:00+00:00,-29019060.962203417,18,-1963.5173833668232,-464.2312707844332,81.89348499096099,496.4229260594016
2024-08-11 03:00:00+00:00,-29019217.31179952,18,-1625.1027592271566,-384.26368222811305,78.02465301091257,611.7583386076843
2024-08-11 06:00:00+00:00,-29019467.237893224,16,-1190.554170742631,-281.4737187192391,129.16645721524372,630.9953555499042
2024-08-11 09:00:00+00:00,-29019514.950342204,11,-443.47991324961185,-104.82085796874092,137.10160353866604,687.4552748315398
2024-08-11 12:00:00+00:00,-29019578.107871536,18,-1924.284697920084,-454.9766985154188,113.37194763837901,727.8233927796563
2024-08-11 15:00:00+00:00,-29019996.021516684,18,-2176.116873472929,-514.458668884667,119.62893044517723,626.3420378221385
2024-08-11 18:00:00+00:00,-29020122.137089904,11,-428.6983598023653,-101.37433689169093,108.00844068928119,653.0841152180436
2024-08-11 21:00:00+00:00,-29020103.196106635,18,-931.3420929312707,-220.2302863608635,111.11412082821145,577.2790211061152
2024-08-12 00:00:00+00:00,-29020354.972613137,18,-2410.758957952261,-570.0685202590067,95.72026171583106,687.0020303180662
2024-08-12 03:00:00+00:00,-29020705.885846123,18,-1693.2715312242508,-400.34431045430784,130.96522059842906,589.0602477994489
2024-08-12 06:00:00+00:00,-29020778.290495943,17,-411.718243792653,-97.31977178802877,111.91349323539842,736.2978901840913
2024-08-12 09:00:00+00:00,-29020808.81540707,13,-980.2021636515856,-231.68035442598244,129.3503863028686,668.6561595754893
2024-08-12 12:00:00+00:00,-29021023.341036856,18,-2630.555118262768,-621.9700403617429,124.1740160641129,790.4902292742995
2024-08-12 15:00:00+00:00,-29021466.454186637,17,-2851.650983631611,-674.3181889132823,149.40934617497018,690.9848074075105
