date,satellite,old_proxy_ddeltahdt_m_per_day,rho_mean,alt_mean_km,n_samples_density
2024-06-09 00:00:00+00:00,Swarm_A,15.111384571428573,1.310158126329861e-12,480.8493903125,2880
2024-06-10 00:00:00+00:00,Swarm_A,24.040952178571427,1.2228759912500001e-12,481.124474546875,2880
2024-06-11 00:00:00+00:00,Swarm_A,5.195782916666649,1.2852451314027778e-12,480.7246035788194,2880
2024-06-12 00:00:00+00:00,Swarm_A,19.341805761904787,1.096579050510417e-12,480.6642180211805,2880
2024-06-13 00:00:00+00:00,Swarm_A,-22.825151553571434,1.0055960318125e-12,481.0045233409722,2880
2024-06-14 00:00:00+00:00,Swarm_A,-27.87320573214285,1.02501425034375e-12,480.5881109743056,2880
2024-06-15 00:00:00+00:00,Swarm_A,6.853855857142856,1.1725406126527777e-12,480.5464610652778,2880
2024-06-16 00:00:00+00:00,Swarm_A,-6.9020982857142865,1.0778190776875e-12,480.8290614878472,2880
2024-06-17 00:00:00+00:00,Swarm_A,-3.572415214285714,9.78126295111111e-13,480.4852062385417,2880
2024-06-18 00:00:00+00:00,Swarm_A,-23.787431166666668,1.028441000079861e-12,480.4415874482639,2880
2024-06-19 00:00:00+00:00,Swarm_A,-24.13408833333333,9.960109465625002e-13,480.6181524902778,2880
2024-06-20 00:00:00+00:00,Swarm_A,-17.214022428571425,9.555569910833334e-13,480.433744290625,2880
2024-06-21 00:00:00+00:00,Swarm_A,-19.711220999999995,9.152937899548612e-13,480.33170389861107,2880
2024-06-22 00:00:00+00:00,Swarm_A,-24.68992394642859,8.901138937430557e-13,480.40365422638877,2880
2024-06-23 00:00:00+00:00,Swarm_A,-27.95806762499997,9.863926088958332e-13,480.4180694201389,2880
2024-06-24 00:00:00+00:00,Swarm_A,-29.676509000000046,9.932851659340277e-13,480.20279584166656,2880
2024-06-25 00:00:00+00:00,Swarm_A,7.865706375000031,1.1585168122291666e-12,480.1954469503472,2880
2024-06-26 00:00:00+00:00,Swarm_A,5.350022749999988,1.254341624732639e-12,480.37364988472217,2880
2024-06-27 00:00:00+00:00,Swarm_A,-11.133450458333332,1.244095650357639e-12,480.023962378125,2880
2024-06-28 00:00:00+00:00,Swarm_A,76.37781673333333,1.80640115109375e-12,479.96632663124996,2880
2024-06-29 00:00:00+00:00,Swarm_A,15.999097599999997,1.4243718858124998e-12,480.2415475635417,2880
2024-06-30 00:00:00+00:00,Swarm_A,12.454088428571431,1.393185771192029e-12,480.0421058634059,2760
2024-07-01 00:00:00+00:00,Swarm_A,285.23605085903756,1.3469852824409725e-12,479.76486093923614,2880
2024-07-02 00:00:00+00:00,Swarm_A,-4.769324464932417,1.2346345784751774e-12,479.8351239553191,2820
2024-07-03 00:00:00+00:00,Swarm_A,-17.27042576296811,1.178021062079861e-12,479.6579596114584,2880
2024-07-04 00:00:00+00:00,Swarm_A,-11.69394533576723,1.2651652992430557e-12,479.62608157361115,2880
2024-07-05 00:00:00+00:00,Swarm_A,-15.657149251519343,1.2472604802395833e-12,479.89351428333333,2880
2024-07-06 00:00:00+00:00,Swarm_A,-14.458100679805463,1.085016359246528e-12,479.5336630524306,2880
2024-07-07 00:00:00+00:00,Swarm_A,-26.03546363800327,1.1297095479618055e-12,479.5008269538195,2880
2024-07-08 00:00:00+00:00,Swarm_A,-30.262534314834028,1.1751035617881945e-12,479.68629127187495,2880
2024-07-09 00:00:00+00:00,Swarm_A,-11.544295801435538,1.093521810222222e-12,479.4486461861112,2880
2024-07-10 00:00:00+00:00,Swarm_A,-32.09206698694092,1.1309716503680557e-12,479.3713623239584,2880
2024-07-11 00:00:00+00:00,Swarm_A,-17.08842746807749,1.1770276031041666e-12,479.46624203090283,2880
2024-07-12 00:00:00+00:00,Swarm_A,-35.64301374572118,1.1955447592881945e-12,479.3821408739584,2880
2024-07-13 00:00:00+00:00,Swarm_A,3.00122158194642,1.2509817879652778e-12,479.2198964684028,2880
