timestamp,old_gps_average_altitude,old_tle_average_altitude,old_altitude_diff,center_time,n_raw,gps_a_msl_raw,gps_b_ellipsoidal_h_ell,gps_c_r_minus_R0_geoid_corrected,gps_cprime_r_minus_R0_asused,tle_i_r_minus_R0_asused,tle_ii_geodetic_height_correct,D2_gps_cprime,D2_tle_i,D_common_gps_cprime,D_common_tle_i,alpha_binned,delta_h_old_binned,delta_h_degeoided_binned,beta_binned,gamma_binned
2024-07-08 11:49:44.941176320+00:00,496.58529381247786,496.7579198768468,0.1726260643689556,2024-07-08 11:57:05+00:00,14.0,506.9745021751673,506.9887182656226,496.6253360249388,496.6111202205136,496.78444573728535,507.1470234699942,496.58497597150904,496.7580493488083,496.6111202205136,496.78444573728535,0.014215804425191436,0.17332551677174024,0.1591097123465488,0.00025213947247948454,0.0
2024-07-08 14:52:08.105263616+00:00,496.6552688030762,496.7506034733526,0.0953346702763724,2024-07-08 14:42:07+00:00,19.0,507.11651058033965,507.1154504434934,496.6390359333292,496.640096050716,496.7494116330574,507.22673370956863,496.6315456825429,496.74078558978033,496.640096050716,496.7494116330574,-0.0010601173868280966,0.10931558234136673,0.11037569972819483,7.567510391481846e-05,0.0
2024-07-08 18:00:24.176470528+00:00,496.86956557721805,496.9193671833456,0.0498016061275734,2024-07-08 17:43:24+00:00,16.0,506.4579587944693,506.43410383891836,496.79989678553005,496.82375165586024,496.8569437791095,506.49642648524787,496.68832645988874,496.7232531520732,496.82375165586024,496.8569437791095,-0.023854870330183076,0.03319212324925047,0.05704699357943355,-0.001734568935205516,0.0
2024-07-08 21:11:29.142857216+00:00,496.71246883430143,496.8272352688877,0.1147664345862153,2024-07-08 20:44:19+00:00,14.0,506.5306599094963,506.5304038311846,496.69902447859357,496.6992806243022,496.8159065655626,506.6461051203939,496.59671764124624,496.7123196455486,496.6992806243022,496.8159065655626,-0.0002561457086471819,0.11662594126039494,0.11688208696904212,0.001023936958063132,0.0
2024-07-09 00:22:13.947368192+00:00,496.5426077900016,496.6974986587677,0.1548908687660173,2024-07-09 00:02:13+00:00,19.0,507.02855402502547,507.0475254028873,496.53067152322177,496.511700185405,496.6889018828148,507.2063590463783,496.510262058731,496.68734577560434,496.511700185405,496.6889018828148,0.0189713378167653,0.177201697409771,0.1582303595930057,0.00011798053640177386,0.0
2024-07-09 03:32:15.842105344+00:00,496.5812513772596,496.6797111068129,0.0984597295533262,2024-07-09 03:12:15+00:00,19.0,507.10203361842105,507.0956894990109,496.58378473244414,496.59012883195936,496.67295362546014,507.18253022510754,496.58732463299253,496.6700534613276,496.59012883195936,496.67295362546014,-0.006344099515217749,0.08282479350077665,0.0891688930159944,9.596516571264146e-05,0.0
2024-07-09 06:42:17.736842240+00:00,496.5965549023601,496.6614018631846,0.064846960824525,2024-07-09 06:22:17+00:00,19.0,507.11420715972633,507.0977870526096,496.59282941814837,496.6092494995626,496.65687032238554,507.15954211227637,496.60520341807666,496.65277931795464,496.6092494995626,496.65687032238554,-0.016420081414253218,0.04762082282292113,0.06404090423717435,4.492294493729787e-05,0.0
2024-07-09 09:56:13.111110912+00:00,496.5027558415605,496.62285634841527,0.1201005068547829,2024-07-09 09:35:05+00:00,18.0,507.1161183040614,507.11877122940126,496.4961485792655,496.49349567408075,496.61976405511876,507.24768564179493,496.5067490678506,496.6333042074195,496.49349567408075,496.61976405511876,0.002652905184731935,0.12626838103801674,0.1236154758532848,-0.00028675853087634096,0.0
2024-07-09 12:57:21.555555584+00:00,496.45496252831566,496.5824893993558,0.1275268710401178,2024-07-09 12:42:21+00:00,19.0,506.9654085823502,506.9751997520836,496.4831978946404,496.4734067557894,496.62398427007184,507.11780859103027,496.46777300646255,496.61829033786364,496.4734067557894,496.62398427007184,0.009791138850971493,0.15057751428241772,0.14078637543144623,6.018288132736416e-05,0.0
2024-07-09 16:01:50.111111168+00:00,496.606260626538,496.6421202866006,0.035859660062556,2024-07-09 15:51:16+00:00,18.0,506.8841412729914,506.8770339942767,496.5825369658711,496.5896441860835,496.63608169757487,506.9293019757695,496.5527325420297,496.5994554698528,496.5896441860835,496.63608169757487,-0.007107220212390075,0.046437511491376426,0.0535447317037665,-0.00028541633173517766,0.0
