datetime,panel,E_J2_Jkg,roll_median_Jkg,threshold_lo_Jkg,threshold_hi_Jkg,removed
2024-05-10 02:00:22+00:00,gannon,-28965517.024648376,-28965678.479379795,-28968618.113057397,-28962738.845702194,False
2024-05-10 02:10:22+00:00,gannon,-28965625.948658597,-28965678.479379795,-28968618.113057397,-28962738.845702194,False
2024-05-10 02:20:22+00:00,gannon,-28965872.70215784,-28965861.919616275,-28968801.553293876,-28962922.285938673,False
2024-05-10 02:30:22+00:00,gannon,-28965861.919616275,-28965861.919616275,-28968801.553293876,-28962922.285938673,False
2024-05-10 02:40:22+00:00,gannon,-28965629.91238013,-28965678.479379795,-28968618.113057397,-28962738.845702194,False
2024-05-10 02:50:22+00:00,gannon,-28965678.479379795,-28965678.479379795,-28968618.113057397,-28962738.845702194,False
2024-05-10 03:00:22+00:00,gannon,-28966214.73077608,-28965861.919616275,-28968801.553293876,-28962922.285938673,False
2024-05-10 03:10:22+00:00,gannon,-28966157.89623797,-28965872.70215784,-28968812.335835442,-28962933.06848024,False
2024-05-10 03:20:23+00:00,gannon,-28966130.825041223,-28965872.70215784,-28968812.335835442,-28962933.06848024,False
2024-05-10 03:30:23+00:00,gannon,-28965526.981823057,-28965974.1949519,-28968913.8286295,-28963034.561274298,False
2024-05-10 03:40:23+00:00,gannon,-28965615.36909663,-28965974.1949519,-28968913.8286295,-28963034.561274298,False
2024-05-10 03:50:23+00:00,gannon,-28966328.79676077,-28966085.88389597,-28969025.517573573,-28963146.25021837,False
2024-05-10 04:00:23+00:00,gannon,-28966405.06481633,-28966085.88389597,-28969025.517573573,-28963146.25021837,False
2024-05-10 04:10:23+00:00,gannon,-28965974.1949519,-28965974.1949519,-28968913.8286295,-28963034.561274298,False
2024-05-10 04:20:23+00:00,gannon,-28965359.405973256,-28965974.1949519,-28968913.8286295,-28963034.561274298,False
2024-05-10 04:30:23+00:00,gannon,-28966105.6153244,-28965974.1949519,-28968913.8286295,-28963034.561274298,False
2024-05-10 04:40:23+00:00,gannon,-28965941.24684463,-28965974.1949519,-28968913.8286295,-28963034.561274298,False
2024-05-10 04:50:23+00:00,gannon,-28966085.88389597,-28965974.1949519,-28968913.8286295,-28963034.561274298,False
2024-05-10 05:00:24+00:00,gannon,-28965870.159023687,-28965941.24684463,-28968880.880522233,-28963001.61316703,False
2024-05-10 05:10:24+00:00,gannon,-28965328.243332885,-28965941.24684463,-28968880.880522233,-28963001.61316703,False
2024-05-10 05:20:24+00:00,gannon,-28966390.1839228,-28965941.24684463,-28968880.880522233,-28963001.61316703,False
2024-05-10 05:30:24+00:00,gannon,-28967396.010374125,-28965956.658486325,-28968896.292163927,-28963017.024808723,False
2024-05-10 05:40:24+00:00,gannon,-28965922.96531936,-28965941.24684463,-28968880.880522233,-28963001.61316703,False
2024-05-10 05:50:24+00:00,gannon,-28965527.919721395,-28965922.96531936,-28968862.598996963,-28962983.33164176,False
2024-05-10 06:00:24+00:00,gannon,-28965612.362385616,-28965922.96531936,-28968862.598996963,-28962983.33164176,False
2024-05-10 06:10:24+00:00,gannon,-28966237.85582237,-28965956.658486325,-28968896.292163927,-28963017.024808723,False
2024-05-10 06:20:24+00:00,gannon,-28966581.08490065,-28965956.658486325,-28968896.292163927,-28963017.024808723,False
2024-05-10 06:30:24+00:00,gannon,-28965956.658486325,-28965922.96531936,-28968862.598996963,-28962983.33164176,False
2024-05-10 06:40:25+00:00,gannon,-28965362.582725424,-28965922.96531936,-28968862.598996963,-28962983.33164176,False
2024-05-10 06:50:25+00:00,gannon,-28965771.894589026,-28965956.658486325,-28968896.292163927,-28963017.024808723,False
2024-05-10 07:00:25+00:00,gannon,-28967033.66696931,-28966237.85582237,-28969177.48949997,-28963298.222144768,False
2024-05-10 07:10:25+00:00,gannon,-28966661.5708738,-28966237.85582237,-28969177.48949997,-28963298.222144768,False
2024-05-10 07:20:25+00:00,gannon,-28965721.334474355,-28965956.658486325,-28968896.292163927,-28963017.024808723,False
2024-05-10 07:30:25+00:00,gannon,-28965521.623478446,-28965771.894589026,-28968711.528266627,-28962832.260911424,False
2024-05-10 07:40:25+00:00,gannon,-28966426.035380032,-28965771.894589026,-28968711.528266627,-28962832.260911424,False
2024-05-10 07:50:25+00:00,gannon,-28966572.487611167,-28966289.106809422,-28969228.740487024,-28963349.47313182,False
2024-05-10 08:00:25+00:00,gannon,-28966289.106809422,-28966336.68886034,-28969276.32253794,-28963397.055182736,False
2024-05-10 08:10:25+00:00,gannon,-28965531.62064221,-28966336.68886034,-28969276.32253794,-28963397.055182736,False
2024-05-10 08:20:26+00:00,gannon,-28965586.454465963,-28966289.106809422,-28969228.740487024,-28963349.47313182,False
2024-05-10 09:00:26+00:00,gannon,-28965427.339923456,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 09:10:26+00:00,gannon,-28966790.84035871,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 09:20:26+00:00,gannon,-28966487.44442064,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 09:30:26+00:00,gannon,-28966336.68886034,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 09:40:26+00:00,gannon,-28966380.904575136,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 09:50:27+00:00,gannon,-28965695.22557616,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
2024-05-10 10:27:43+00:00,gannon,-28966304.415696014,-28966304.415696014,-28969244.049373616,-28963364.782018412,False
