wavelength,lag_hours,spearman_r,n
irr_1216,9,-0.016727725354604348,1691
irr_1216,12,-0.015872142615115083,1690
irr_1216,15,-0.01546704209306059,1689
irr_1216,18,-0.014942818621629767,1688
irr_1216,21,-0.012919680000134366,1687
irr_1216,24,-0.006982754261072874,1686
irr_1216,27,-0.002645108588244587,1685
irr_1216,30,0.0014888370141408298,1684
irr_1216,33,0.010380121161131479,1683
irr_1216,36,0.023218380389736736,1682
irr_1216,39,0.03541770264429827,1681
irr_1216,42,0.042594630616416336,1680
irr_1216,45,0.04746580818713189,1679
irr_1216,48,0.05185808821970947,1679
irr_1216,51,0.05858773714052871,1679
irr_1216,54,0.06418693647258879,1679
irr_1216,57,0.0676853053114428,1679
irr_1216,60,0.06695658157220427,1679
irr_1216,63,0.06335109439636563,1678
irr_1216,66,0.06343269802555342,1677
irr_1216,69,0.06415541049085162,1675
irr_1216,72,0.06151668163730307,1673
irr_1216,75,0.0569263850041235,1671
irr_1216,78,0.0512131832906898,1669
irr_1216,81,0.043601385347914225,1667
irr_1216,84,0.03870469927947508,1666
irr_1216,87,0.039159785535835955,1665
irr_1216,90,0.040733147227434666,1664
irr_1216,93,0.04027404989521646,1664
irr_1216,96,0.03962575253916204,1664
irr_1216,99,0.0382975263875745,1664
irr_1216,102,0.03745830484029521,1664
irr_1216,105,0.03933246697828779,1664
irr_1216,108,0.042535811112930776,1664
irr_1216,111,0.04279245985155122,1663
irr_1216,114,0.03980701712166457,1661
irr_1216,117,0.030929093777019356,1659
irr_1216,120,0.016347353064937176,1657
irr_1335,0,-0.06637678451711816,1694
irr_1335,3,-0.0826255222991814,1693
irr_1335,6,-0.0840915703580894,1692
irr_1335,9,-0.0778577698250637,1691
irr_1335,12,-0.0753223368264104,1690
irr_1335,15,-0.07510344556890941,1689
irr_1335,18,-0.07392259859994366,1688
irr_1335,21,-0.06657907128352113,1687
irr_1335,24,-0.049718117885104475,1686
irr_1335,27,-0.03705072136942237,1685
irr_1335,30,-0.031771594176809304,1684
irr_1335,33,-0.02460459785319227,1683
irr_1335,36,-0.006543128838912554,1682
irr_1335,39,0.02072135469849729,1681
irr_1335,42,0.04349112733023016,1680
irr_1335,45,0.05950843631129302,1679
irr_1335,48,0.07048058482671783,1679
irr_1335,51,0.08249894759707839,1679
irr_1335,54,0.09293716705810003,1679
irr_1335,57,0.10122493006882728,1679
irr_1335,60,0.1013892605920006,1679
irr_1335,63,0.09311608805892449,1678
irr_1335,66,0.0847716131956688,1677
irr_1335,69,0.07551316734775068,1675
irr_1335,72,0.06450963521311817,1673
irr_1335,75,0.05967191916494294,1671
irr_1335,78,0.05468645967759899,1669
irr_1335,81,0.045627601400704085,1667
irr_1335,84,0.0360166699991172,1666
irr_1335,87,0.030106294076882315,1665
irr_1335,90,0.026136057017746735,1664
irr_1335,93,0.02692882501586651,1664
irr_1335,96,0.03197315799540694,1664
irr_1335,99,0.03271086723431883,1664
irr_1335,102,0.033798251683850006,1664
irr_1335,105,0.04127918999762055,1664
irr_1335,108,0.04775395683393278,1664
irr_1335,111,0.05523651269115298,1663
irr_1335,114,0.0602550703621926,1661
irr_1335,117,0.05656146575145287,1659
irr_1335,120,0.04363802212057921,1657
irr_1405,0,-0.0007228210506201039,1694
irr_1405,3,-0.008108438704441587,1693
irr_1405,6,-0.009722370788555678,1692
irr_1405,9,-0.006794703907366401,1691
irr_1405,12,-0.006404209659655959,1690
irr_1405,15,-0.006626700405762758,1689
irr_1405,18,-0.004966704946215313,1688
irr_1405,21,-0.0023355788995945838,1687
irr_1405,24,0.00013759544144663715,1686
irr_1405,27,0.0059799856208464066,1685
irr_1405,30,0.010555710070824448,1684
irr_1405,33,0.01742532598124614,1683
irr_1405,36,0.032724677132091415,1682
irr_1405,39,0.047780884124741935,1681
irr_1405,42,0.05887482345945519,1680
irr_1405,45,0.0687914439110061,1679
irr_1405,48,0.07835587485233146,1679
irr_1405,51,0.0862760016538267,1679
irr_1405,54,0.09348973563618326,1679
irr_1405,57,0.09909918264978776,1679
irr_1405,60,0.09428740178122046,1679
irr_1405,63,0.08173311834018157,1678
irr_1405,66,0.06894966749998381,1677
irr_1405,69,0.05261028243441605,1675
irr_1405,72,0.03323090217763126,1673
irr_1405,75,0.018785638330513426,1671
irr_1405,78,0.0017057625377114951,1669
irr_1405,81,-0.018745524129647716,1667
irr_1405,84,-0.03568868394323471,1666
irr_1405,87,-0.04105586361363672,1665
irr_1405,90,-0.04361370222389465,1664
irr_1405,93,-0.04047762145326788,1664
irr_1405,96,-0.030368408732058764,1664
irr_1405,99,-0.024108621086973463,1664
irr_1405,102,-0.020269939500997834,1664
irr_1405,105,-0.008093968372831873,1664
irr_1405,108,0.005253694302100797,1664
irr_1405,111,0.015584087999708776,1663
irr_1405,114,0.02773267480971993,1661
irr_1405,117,0.035367209342608896,1659
irr_1405,120,0.03608519753902366,1657
