date,satellite,rho_mean,rho_mean_norm,alt_mean_km,n_samples_density,dEdt_Jkg_per_day,n_bins_dEdt,neg_dEdt_Jkg_per_day,neg_dEdt_norm
2024-05-09 00:00:00+00:00,GRACE-FO,1.0900221764351853e-12,0.7797930767931242,491.214530813426,8640,-489.7024268656969,8,489.7024268656969,0.6069473315598677
2024-05-10 00:00:00+00:00,GRACE-FO,1.602703460800926e-12,1.1465611341708848,490.9089495273148,8640,-873.1958687752485,8,873.1958687752485,1.0822570471507749
2024-05-11 00:00:00+00:00,GRACE-FO,3.3249900658043987e-12,2.37867108557342,491.19619221655086,8640,-1770.6444684471937,8,1770.6444684471937,2.1945734313463032
2024-05-12 00:00:00+00:00,GRACE-FO,1.2059563837777777e-12,0.8627314740144651,491.01157565775463,8640,-550.2850581798702,8,550.2850581798702,0.6820346997200775
2024-05-13 00:00:00+00:00,GRACE-FO,1.3181280347164353e-12,0.9429781687197828,490.89508605185193,8640,-592.1720180790871,8,592.1720180790871,0.7339502654662061
2024-05-14 00:00:00+00:00,GRACE-FO,1.3281908976597222e-12,0.9501770597382719,490.78113003761575,8640,-562.4213870521635,8,562.4213870521635,0.6970767171164739
2024-05-15 00:00:00+00:00,GRACE-FO,1.448658083072917e-12,1.0363583129244989,491.07020775416663,8640,-770.3542459979653,8,770.3542459979653,0.9547930096178808
2024-05-16 00:00:00+00:00,GRACE-FO,1.8132375453483802e-12,1.2971755208395994,490.8365772997685,8640,-786.5940873939544,8,786.5940873939544,0.9749210054363583
2024-05-17 00:00:00+00:00,GRACE-FO,1.821304622570602e-12,1.3029466428441232,490.53286724259254,8640,-882.9574231281875,8,882.9574231281875,1.094355719816773
2024-05-18 00:00:00+00:00,GRACE-FO,1.9432078023136574e-12,1.3901551947963273,490.87912780219904,8640,-879.7064125295728,8,879.7064125295728,1.0903263499393736
2024-05-19 00:00:00+00:00,GRACE-FO,1.6252009836215278e-12,1.1626556806120174,490.74815876817127,8640,-741.2870316114277,8,741.2870316114277,0.9187665020085443
2024-05-20 00:00:00+00:00,GRACE-FO,1.481089112008102e-12,1.0595592095517965,490.54268706516206,8640,-1096.5932232961059,4,1096.5932232961059,1.3591403557996709
2024-05-29 00:00:00+00:00,GRACE-FO,8.219934968738426e-13,0.5880475203976798,490.6757278550926,8640,41.570173526803615,3,-41.570173526803615,-0.051522934154242604
2024-05-30 00:00:00+00:00,GRACE-FO,9.047312360358796e-13,0.6472374319268864,490.2335529422454,8640,-367.89113478176296,8,367.89113478176296,0.4559718929503306
2024-05-31 00:00:00+00:00,GRACE-FO,9.88395212300926e-13,0.707089966011863,490.0394231004629,8640,-369.69221468083555,8,369.69221468083555,0.4582041886848339
2024-06-01 00:00:00+00:00,GRACE-FO,9.110762486203704e-13,0.6517766027736048,490.4155020164352,8640,-448.4617493264377,8,448.4617493264377,0.5558327815577718
2024-06-02 00:00:00+00:00,GRACE-FO,9.03409187195602e-13,0.6462916488454794,490.38001598680563,8640,-340.4554078280925,8,340.4554078280925,0.4219674846599418
2024-06-03 00:00:00+00:00,GRACE-FO,1.065161301559028e-12,0.76200780734581,490.0320860668981,8640,-567.113364521414,8,567.113364521414,0.7028920511815462
2024-06-04 00:00:00+00:00,GRACE-FO,1.2274663853148148e-12,0.8781195556911578,489.9870881371528,8640,-505.3185973707586,8,505.3185973707586,0.6263023367574028
2024-06-05 00:00:00+00:00,GRACE-FO,1.1774071903020833e-12,0.8423076111778566,490.51848619247687,8640,-520.788618599996,8,520.788618599996,0.6454762015151432
2024-06-06 00:00:00+00:00,GRACE-FO,1.2046535568587964e-12,0.8617994421405781,489.9789570940972,8640,-643.3439203053713,8,643.3439203053713,0.7973737810609197
2024-06-07 00:00:00+00:00,GRACE-FO,1.358597626164352e-12,0.971929788158333,489.83273161932874,8640,-549.2913788259029,8,549.2913788259029,0.6808031129456832
2024-06-08 00:00:00+00:00,GRACE-FO,1.3468420073935185e-12,0.9635199132685441,490.1933701818287,8640,-748.3963375557214,8,748.3963375557214,0.9275779230581589
2024-06-09 00:00:00+00:00,GRACE-FO,1.1787601007986112e-12,0.843275472439325,490.1553071988426,8640,-535.0867018159479,8,535.0867018159479,0.6631975420236781
2024-06-10 00:00:00+00:00,GRACE-FO,1.1245347746724536e-12,0.8044831113166233,489.74613140092595,8640,-530.3455568160862,8,530.3455568160862,0.6573212687027095
2024-06-11 00:00:00+00:00,GRACE-FO,1.1883269474305556e-12,0.850119517387777,489.7707307150463,8640,-502.64737943187356,8,502.64737943187356,0.6229915739123051
2024-06-12 00:00:00+00:00,GRACE-FO,9.701399935914353e-13,0.6940303297285351,490.28449241296295,8640,-458.57293304242194,8,458.57293304242194,0.5683647920985554
2024-06-13 00:00:00+00:00,GRACE-FO,9.06919817917824e-13,0.6488031257599389,489.7013611453704,8640,-366.98437730968,8,366.98437730968,0.4548480389568447
2024-06-14 00:00:00+00:00,GRACE-FO,9.454368607314817e-13,0.6763579076478289,489.63784951099535,8640,-469.2478431239724,8,469.2478431239724,0.5815954967738571
2024-06-15 00:00:00+00:00,GRACE-FO,1.0490942281469908e-12,0.7505135525665096,489.98356489236113,8640,-429.72193711064756,8,429.72193711064756,0.5326062701208043
2024-06-16 00:00:00+00:00,GRACE-FO,9.57637994605324e-13,0.6850865004503754,489.9275604622685,8640,-435.0890424195677,8,435.0890424195677,0.53925837161497
2024-06-17 00:00:00+00:00,GRACE-FO,8.7625873634375e-13,0.6268684352047016,489.5225557076389,8640,-360.96343473158777,8,360.96343473158777,0.4473855580076733
2024-06-18 00:00:00+00:00,GRACE-FO,9.058333288402781e-13,0.6480258602336059,489.6288263747685,8640,-632.9570255249739,5,632.9570255249739,0.7845000485158199
2024-06-19 00:00:00+00:00,GRACE-FO,8.665215819305555e-13,0.619902553442638,490.0761907621528,8640,-41.48916250467299,4,41.48916250467299,0.05142252741535053
2024-06-20 00:00:00+00:00,GRACE-FO,8.376855560173611e-13,0.5992734929928085,489.4678761768519,8640,-349.1767495088279,8,349.1767495088279,0.4327768961930318
2024-06-21 00:00:00+00:00,GRACE-FO,7.928372088865742e-13,0.5671893470421486,489.5027048987269,8640,-472.45081604644656,8,472.45081604644656,0.5855653277603949
2024-06-22 00:00:00+00:00,GRACE-FO,7.644024236979167e-13,0.5468473309716773,489.8121440576389,8640,-542.4203319847584,5,542.4203319847584,0.6722869951638137
2024-06-23 00:00:00+00:00,GRACE-FO,8.548689759791668e-13,0.6115663730933462,489.71813319328703,8640,-385.07856749370694,4,385.07856749370694,0.47727435307422167
2024-06-24 00:00:00+00:00,GRACE-FO,8.485617280625e-13,0.607054218785514,489.3437565444445,8640,-372.528349686414,8,372.528349686414,0.4617193531584857
2024-06-25 00:00:00+00:00,GRACE-FO,9.965770313877317e-13,0.7129431734212119,489.5117830351852,8640,-487.2513331286609,8,487.2513331286609,0.6039093952101973
2024-06-26 00:00:00+00:00,GRACE-FO,1.073952943525463e-12,0.7682972771265907,489.862229287963,8640,-601.4272706843913,8,601.4272706843913,0.7454214172586445
2024-06-27 00:00:00+00:00,GRACE-FO,1.060469516822917e-12,0.7586513423727869,489.2549140384259,8640,-828.9280381798744,6,828.9280381798744,1.027390580946442
