mask,wavelength,lag_hours,spearman_r,n
quiet_dst30,1335,60,0.7832964165307618,850
quiet_dst30,1335,63,0.7772305212504362,849
quiet_dst30,1335,66,0.7752093154104803,848
quiet_dst30,1335,69,0.7733410780881711,845
quiet_dst30,1335,72,0.7701522155449646,843
quiet_dst30,1335,75,0.7659515894557313,841
quiet_dst30,1335,78,0.7644302005821716,839
quiet_dst30,1335,81,0.7638947878401504,837
quiet_dst30,1335,84,0.7589515815362494,835
quiet_dst30,1335,87,0.7488413398358095,834
quiet_dst30,1335,90,0.7459486237091658,834
quiet_dst30,1335,93,0.7445727750454854,834
quiet_dst30,1335,96,0.7363015890886575,834
quiet_dst30,1335,99,0.7261025394089053,834
quiet_dst30,1335,102,0.7242526631985667,834
quiet_dst30,1335,105,0.7198962435101124,834
quiet_dst30,1335,108,0.7056567787154495,834
quiet_dst30,1335,111,0.6908667174672858,833
quiet_dst30,1335,114,0.6871172624404867,831
quiet_dst30,1335,117,0.6861294867412167,829
quiet_dst30,1335,120,0.672075857366602,827
quiet_dst30,1405,0,0.8556869154017795,845
quiet_dst30,1405,3,0.8610319100208256,845
quiet_dst30,1405,6,0.8679636883475599,846
quiet_dst30,1405,9,0.8707689081717401,847
quiet_dst30,1405,12,0.8673173646444592,848
quiet_dst30,1405,15,0.8652491146468587,849
quiet_dst30,1405,18,0.8665680611973979,850
quiet_dst30,1405,21,0.8722287050567733,851
quiet_dst30,1405,24,0.8728188754667928,850
quiet_dst30,1405,27,0.8717321961691297,850
quiet_dst30,1405,30,0.8756484075736153,850
quiet_dst30,1405,33,0.8770137275988903,850
quiet_dst30,1405,36,0.8730819427960943,850
quiet_dst30,1405,39,0.867667734610339,850
quiet_dst30,1405,42,0.864592521854398,849
quiet_dst30,1405,45,0.8638676069156284,848
quiet_dst30,1405,48,0.8627744398646184,849
quiet_dst30,1405,51,0.8614311650176925,850
quiet_dst30,1405,54,0.8606667983989883,850
quiet_dst30,1405,57,0.8588821690207104,850
quiet_dst30,1405,60,0.8541904727244483,850
quiet_dst30,1405,63,0.8520331747606703,849
quiet_dst30,1405,66,0.8527930000528173,848
quiet_dst30,1405,69,0.8521488313554773,845
quiet_dst30,1405,72,0.8542093265107229,843
quiet_dst30,1405,75,0.8532336841068952,841
quiet_dst30,1405,78,0.854894084697294,839
quiet_dst30,1405,81,0.8564511237967725,837
quiet_dst30,1405,84,0.852054790285183,835
quiet_dst30,1405,87,0.8445915737595603,834
quiet_dst30,1405,90,0.8428747107338176,834
quiet_dst30,1405,93,0.8452912065614597,834
quiet_dst30,1405,96,0.8407998705448664,834
quiet_dst30,1405,99,0.832509860016035,834
quiet_dst30,1405,102,0.8326249381413704,834
quiet_dst30,1405,105,0.8306320572428342,834
quiet_dst30,1405,108,0.8175142887034622,834
quiet_dst30,1405,111,0.8054446045158516,833
quiet_dst30,1405,114,0.8018230168661316,831
quiet_dst30,1405,117,0.8022923602944847,829
quiet_dst30,1405,120,0.7933446101095772,827
quiet_dst50,256,0,0.6480973542501327,1198
quiet_dst50,256,3,0.6503029098473502,1196
quiet_dst50,256,6,0.6557229691087082,1195
quiet_dst50,256,9,0.6569557922289165,1194
quiet_dst50,256,12,0.654766890987168,1193
quiet_dst50,256,15,0.655902535498005,1192
quiet_dst50,256,18,0.6582214116803868,1192
quiet_dst50,256,21,0.6602640638284548,1192
quiet_dst50,256,24,0.6579439335637339,1192
quiet_dst50,256,27,0.6560133904287799,1191
quiet_dst50,256,30,0.6573122867391171,1191
quiet_dst50,256,33,0.6566919682856323,1191
