mode,wavelength,lag_hours,spearman_r,n
weekly,304,51,0.08490742632068364,1657
weekly,304,54,0.07002041346576439,1657
weekly,304,57,0.06212320823194807,1657
weekly,304,60,0.059873330635060014,1657
weekly,304,63,0.052076484340045366,1656
weekly,304,66,0.03207891803356533,1655
weekly,304,69,0.016830398938150217,1653
weekly,304,72,0.016530949123483667,1651
weekly,304,75,0.008730913919319636,1649
weekly,304,78,-0.013303574412632949,1647
weekly,304,81,-0.025932151071220023,1645
weekly,304,84,-0.03289288100972352,1643
weekly,304,87,-0.04775968160383084,1642
weekly,304,90,-0.07221507786724775,1642
weekly,304,93,-0.09004723753877329,1642
weekly,304,96,-0.09790111885246308,1642
weekly,304,99,-0.1098741364352239,1642
weekly,304,102,-0.1307460596274109,1642
weekly,304,105,-0.14467279724836202,1642
weekly,304,108,-0.1462196037649989,1642
weekly,304,111,-0.15801969956735057,1641
weekly,304,114,-0.180608236904138,1639
weekly,304,117,-0.19287015165987934,1637
weekly,304,120,-0.18844904432302276,1635
weekly,1216,0,0.153142270931609,1671
weekly,1216,3,0.14890612966716166,1670
weekly,1216,6,0.1400068642978228,1669
weekly,1216,9,0.14908162601391386,1668
weekly,1216,12,0.15001130354380024,1667
weekly,1216,15,0.13301725577716184,1666
weekly,1216,18,0.11965289645200536,1665
weekly,1216,21,0.12952837360712552,1664
weekly,1216,24,0.13836737800617188,1663
weekly,1216,27,0.12961179958730393,1662
weekly,1216,30,0.115317449278729,1661
weekly,1216,33,0.11870189430681426,1660
weekly,1216,36,0.11793438834760842,1659
weekly,1216,39,0.0980747954950778,1658
weekly,1216,42,0.07955871409335119,1657
weekly,1216,45,0.08494248834168766,1657
weekly,1216,48,0.09204620203192906,1657
weekly,1216,51,0.07804231663353065,1657
weekly,1216,54,0.062299616910032746,1657
weekly,1216,57,0.0639856918151386,1657
weekly,1216,60,0.061823255623983386,1657
weekly,1216,63,0.039321885833681604,1656
weekly,1216,66,0.01812733955787285,1655
weekly,1216,69,0.01996248048034201,1653
weekly,1216,72,0.024908429005836542,1651
weekly,1216,75,0.00887762351964182,1649
weekly,1216,78,-0.013197748655765652,1647
weekly,1216,81,-0.014881883169742366,1645
weekly,1216,84,-0.021686488710896765,1643
weekly,1216,87,-0.050513348968972534,1642
weekly,1216,90,-0.07470476604337747,1642
weekly,1216,93,-0.07388393912907275,1642
weekly,1216,96,-0.07458339039722653,1642
weekly,1216,99,-0.09431824752969384,1642
weekly,1216,102,-0.11596909480081043,1642
weekly,1216,105,-0.12052141135477333,1642
weekly,1216,108,-0.12366826297771,1642
weekly,1216,111,-0.14928658816589688,1641
weekly,1216,114,-0.17317937394896732,1639
weekly,1216,117,-0.16962899798682002,1637
weekly,1216,120,-0.16161790707413437,1635
monthly,304,0,0.3586738121594561,1671
monthly,304,3,0.3635724649859687,1670
monthly,304,6,0.3562623503647281,1669
monthly,304,9,0.35537774623539,1668
monthly,304,12,0.3689489576836194,1667
monthly,304,15,0.3779897938039682,1666
monthly,304,18,0.37156060883532677,1665
monthly,304,21,0.3782062038690498,1664
monthly,304,24,0.39238734368658457,1663
monthly,304,27,0.39616715952591164,1662
monthly,304,30,0.3864562554381948,1661
monthly,304,33,0.3880769675198529,1660
monthly,304,36,0.40197900009164667,1659
monthly,304,39,0.41038789106661105,1658
monthly,304,42,0.40529770698296136,1657
monthly,304,45,0.40963344115450107,1657
monthly,304,48,0.42321778489012235,1657
monthly,304,51,0.4253547956569592,1657
monthly,304,54,0.4153512712222827,1657
monthly,304,57,0.4145891714465482,1657
monthly,304,60,0.42608783006478484,1657
monthly,304,63,0.430504253740292,1656
monthly,304,66,0.4159808804183318,1655
monthly,304,69,0.4132014917988438,1653
monthly,304,72,0.42256564264222357,1651
monthly,304,75,0.4177883156173826,1649
monthly,304,78,0.39845755499794216,1647
monthly,304,81,0.39011498695899643,1645
monthly,304,84,0.39371323823144827,1643
monthly,304,87,0.38880452397414683,1642
monthly,304,90,0.3694611912029037,1642
monthly,304,93,0.35889031678933114,1642
monthly,304,96,0.36166432294566914,1642
monthly,304,99,0.35317094847295344,1642
monthly,304,102,0.3299579936684993,1642
monthly,304,105,0.3219809112366437,1642
monthly,304,108,0.32541625385091105,1642
monthly,304,111,0.3164989483818308,1641
monthly,304,114,0.29425681142332233,1639
monthly,304,117,0.2837770938150011,1637
monthly,304,120,0.29105564166077075,1635
monthly,1216,0,0.37106007266441293,1671
monthly,1216,3,0.3582229860581889,1670
monthly,1216,6,0.3490761425136777,1669
monthly,1216,9,0.36783954290331694,1668
monthly,1216,12,0.3890440214947762,1667
monthly,1216,15,0.3805514569457854,1666
monthly,1216,18,0.3676305370730301,1665
monthly,1216,21,0.38952015529119643,1664
monthly,1216,24,0.40589230543194493,1663
monthly,1216,27,0.3942081133009403,1662
monthly,1216,30,0.38389725438158206,1661
monthly,1216,33,0.40420219782663597,1660
monthly,1216,36,0.42472443369420637,1659
monthly,1216,39,0.41587610235680994,1658
monthly,1216,42,0.4030347625539065,1657
monthly,1216,45,0.42129108821880557,1657
monthly,1216,48,0.43415137472157994,1657
monthly,1216,51,0.41837469064676147,1657
monthly,1216,54,0.4068417467901054,1657
monthly,1216,57,0.42472281150640095,1657
monthly,1216,60,0.4442135138972479,1657
monthly,1216,63,0.4325010686804279,1656
monthly,1216,66,0.41218937565989494,1655
monthly,1216,69,0.4252476134230174,1653
monthly,1216,72,0.43524651878520265,1651
monthly,1216,75,0.4148612129172334,1649
monthly,1216,78,0.395617003917052,1647
monthly,1216,81,0.40747248974855665,1645
monthly,1216,84,0.41829558791722005,1643
monthly,1216,87,0.3963970078272352,1642
monthly,1216,90,0.37372884002134926,1642
monthly,1216,93,0.38117580646139965,1642
monthly,1216,96,0.38605846252805776,1642
monthly,1216,99,0.3613489498341939,1642
monthly,1216,102,0.3369478345777352,1642
monthly,1216,105,0.34779703662482847,1642
monthly,1216,108,0.35696653918298493,1642
monthly,1216,111,0.3311870923879735,1641
monthly,1216,114,0.3048299781073197,1639
monthly,1216,117,0.3114215846951494,1637
monthly,1216,120,0.31897090944571826,1635
