datetime,h_gps_km,h_tle_km
2024-04-30 02:27:56+00:00,515.4664601739232,515.7161028640385
2024-04-30 02:37:56+00:00,515.328337624871,515.4523902323344
2024-04-30 02:47:56+00:00,511.9660164793213,511.90246269099225
2024-04-30 02:57:56+00:00,507.3159308039112,507.11069899418453
2024-04-30 03:07:56+00:00,501.53258884817205,501.26526975691286
2024-04-30 03:17:56+00:00,495.6317177982892,495.3911174507166
2024-04-30 03:27:56+00:00,493.2439900672989,493.1407599815748
2024-04-30 03:37:57+00:00,497.47111667698664,497.49957179135436
2024-04-30 03:47:57+00:00,506.3067120200649,506.39094185423073
2024-04-30 03:57:57+00:00,513.8592804804503,513.9396348135988
2024-04-30 04:07:57+00:00,516.1039472406883,516.1513662105172
2024-04-30 04:17:57+00:00,513.8420105509504,513.7837407868547
2024-04-30 04:27:57+00:00,509.5929070427601,509.4658815350713
2024-04-30 04:37:57+00:00,504.2860745253056,504.13965922846364
2024-04-30 04:47:57+00:00,498.11216517850335,497.9837163527327
2024-04-30 04:57:57+00:00,493.5755391147268,493.4918190743192
2024-04-30 05:07:57+00:00,494.61974778881995,494.6147119212901
2024-04-30 05:17:58+00:00,501.9870971892824,501.9761565686322
2024-04-30 05:27:58+00:00,510.99569576192334,510.8986325680544
2024-04-30 05:37:58+00:00,515.9036380344805,515.8085141433139
2024-04-30 05:47:58+00:00,515.4086515760191,515.2697377152399
2024-04-30 05:57:58+00:00,511.7726093850597,511.60791199897903
2024-04-30 06:07:58+00:00,506.862686918249,506.7725829987976
2024-04-30 06:17:58+00:00,500.9202410137368,500.90276958469985
2024-04-30 06:27:58+00:00,495.12032947517037,495.1450476841046
2024-04-30 06:37:58+00:00,493.1813482506486,493.2254118469664
2024-04-30 06:47:58+00:00,497.9394910174842,497.9218480674399
2024-04-30 06:57:59+00:00,506.97592230995724,506.89797193439153
2024-04-30 07:07:59+00:00,514.3628069468259,514.1955305163556
2024-04-30 07:17:59+00:00,516.2029302224164,516.0780905999263
2024-04-30 07:27:59+00:00,513.6464003066549,513.5248604063454
2024-04-30 07:37:59+00:00,509.17282506437004,509.14741206726467
2024-04-30 07:47:59+00:00,503.7139136372498,503.7820404776203
2024-04-30 07:57:59+00:00,497.55525842767383,497.6560944967641
2024-04-30 08:07:59+00:00,493.29030817562125,493.3998441215499
2024-04-30 08:17:59+00:00,494.86663484933615,494.90268470681167
2024-04-30 08:28:00+00:00,502.5311588935765,502.49517944823583
2024-04-30 08:38:00+00:00,511.42215949205365,511.30137497593205
2024-04-30 08:48:00+00:00,515.9674098586438,515.8809881777461
2024-04-30 08:58:00+00:00,515.1386775601268,515.075728150844
2024-04-30 09:08:00+00:00,511.3512969228959,511.3100564333281
2024-04-30 09:18:00+00:00,506.3614283899169,506.4331349236654
2024-04-30 09:28:00+00:00,500.43384745203366,500.54315009882157
2024-04-30 09:38:00+00:00,494.8409909909278,494.9133237286087
2024-04-30 09:48:00+00:00,493.30508616298357,493.3321153310353
2024-04-30 09:58:00+00:00,498.40727905644417,498.3694791785538
2024-04-30 10:18:01+00:00,514.5356360774795,514.4314349951019
2024-04-30 10:28:01+00:00,515.9909432425229,515.9885766556163
2024-04-30 10:48:01+00:00,508.7788323588029,508.8271420430965
2024-04-30 11:08:01+00:00,497.27306822975333,497.33685251586303
2024-04-30 11:18:01+00:00,493.29518958250264,493.3278259757308
2024-04-30 11:28:01+00:00,495.2149718883138,495.21017427699735
2024-04-30 11:38:01+00:00,502.9987176548393,503.0010806637856
2024-04-30 11:48:02+00:00,511.66525376924073,511.68803829253284
2024-04-30 11:58:02+00:00,515.8751037529364,515.9337231842919
2024-04-30 12:08:02+00:00,514.7930503242987,514.870964380807
2024-04-30 12:18:02+00:00,510.99708208020456,511.0092104918185
2024-04-30 12:28:02+00:00,506.0622014931705,506.0924972729681
2024-04-30 12:38:02+00:00,500.17536431716235,500.1868967244336
2024-04-30 12:48:02+00:00,494.71415641074054,494.6965957155917
2024-04-30 12:58:02+00:00,493.4820044889475,493.460828510375
2024-04-30 13:08:02+00:00,498.725574511931,498.82905479600413
2024-04-30 13:18:02+00:00,507.75319322387804,507.8739154767263
2024-04-30 13:28:03+00:00,514.4891961744142,514.6471053598525
2024-04-30 13:38:03+00:00,515.7603669329574,515.8833480173198
2024-04-30 13:48:03+00:00,513.019691758308,512.9887903979406
2024-04-30 13:58:03+00:00,508.63665092407064,508.5052282398692
2024-04-30 14:08:03+00:00,503.2462082697384,503.0670097854054
2024-04-30 14:18:03+00:00,497.2329390533414,497.02664988166
2024-04-30 14:28:03+00:00,493.42687765515075,493.27615136204713
2024-04-30 14:38:03+00:00,495.50938720818704,495.5365822478152
