wavelength,window,geomag,period,lag_hours,spearman_r,n
1405,-1,all,full,3,0.320398895241048,1664
1405,-1,all,full,6,0.30583977161585535,1663
1405,-1,all,full,9,0.2998981543685072,1662
1405,-1,all,full,12,0.3132551671725797,1661
1405,-1,all,full,15,0.3302763118649684,1660
1405,-1,all,full,18,0.3185835286166556,1659
1405,-1,all,full,21,0.30478535836972726,1658
1405,-1,all,full,24,0.31590659611871474,1657
1405,-1,all,full,27,0.32154649337099617,1656
1405,-1,all,full,30,0.31026869755921965,1655
1405,-1,all,full,33,0.3002785755774017,1654
1405,-1,all,full,36,0.31754346130259076,1653
1405,-1,all,full,39,0.3336311233976399,1652
1405,-1,all,full,42,0.31794602834773666,1651
1405,-1,all,full,45,0.30714131724407984,1651
1405,-1,all,full,48,0.317568762480013,1651
1405,-1,all,full,51,0.3210228687634266,1651
1405,-1,all,full,54,0.30716729953617716,1651
1405,-1,all,full,57,0.30035916839066445,1651
1405,-1,all,full,60,0.31298217597163275,1651
1405,-1,all,full,63,0.32229057601457006,1650
1405,-1,all,full,66,0.3113420527672767,1649
1405,-1,all,full,69,0.2975493095658379,1647
1405,-1,all,full,72,0.3073726329036798,1645
1405,-1,all,full,75,0.3120845329676949,1643
1405,-1,all,full,78,0.2945246173442302,1641
1405,-1,all,full,81,0.2855796601499663,1639
1405,-1,all,full,84,0.3036322036699912,1637
1405,-1,all,full,87,0.31010352731549967,1636
1405,-1,all,full,90,0.29306840560112707,1636
1405,-1,all,full,93,0.2780794588346304,1636
1405,-1,all,full,96,0.2946313161424839,1636
1405,-1,all,full,99,0.2997515384439465,1636
1405,-1,all,full,102,0.27411095261976176,1636
1405,-1,all,full,105,0.2677680706298681,1636
1405,-1,all,full,108,0.2837569804405774,1636
1405,-1,all,full,111,0.2949193657566686,1635
1405,-1,all,full,114,0.27370550447721337,1633
1405,-1,all,full,117,0.2567043684689969,1631
1405,-1,all,full,120,0.28009982077365053,1629
256,-1,quiet_kp4,full,0,0.1974061959041127,854
256,-1,quiet_kp4,full,3,0.2178659264984892,855
256,-1,quiet_kp4,full,6,0.19345746562504365,856
256,-1,quiet_kp4,full,9,0.17637409426684525,856
256,-1,quiet_kp4,full,12,0.20374954329523084,857
256,-1,quiet_kp4,full,15,0.23383927903850799,858
256,-1,quiet_kp4,full,18,0.21053939698117624,859
256,-1,quiet_kp4,full,21,0.18658359713907824,860
256,-1,quiet_kp4,full,24,0.2105248610993066,860
256,-1,quiet_kp4,full,27,0.22592228088904368,860
256,-1,quiet_kp4,full,30,0.20705370921143726,860
256,-1,quiet_kp4,full,33,0.18754808556091826,859
256,-1,quiet_kp4,full,36,0.20625630294005365,858
256,-1,quiet_kp4,full,39,0.2313405740596877,857
256,-1,quiet_kp4,full,42,0.2004660939691512,856
256,-1,quiet_kp4,full,45,0.17405188944837255,856
256,-1,quiet_kp4,full,48,0.1993703617093907,855
256,-1,quiet_kp4,full,51,0.21464622870188368,854
256,-1,quiet_kp4,full,54,0.19021525138736178,854
256,-1,quiet_kp4,full,57,0.1683855536637223,854
256,-1,quiet_kp4,full,60,0.18659801524346042,853
256,-1,quiet_kp4,full,63,0.2089076937605449,851
256,-1,quiet_kp4,full,66,0.18451822278347968,849
256,-1,quiet_kp4,full,69,0.1600618396630895,846
256,-1,quiet_kp4,full,72,0.18413144140192478,843
256,-1,quiet_kp4,full,75,0.20341021296393963,840
256,-1,quiet_kp4,full,78,0.17143477925070444,837
256,-1,quiet_kp4,full,81,0.15397010873093922,835
256,-1,quiet_kp4,full,84,0.18540909837970176,832
256,-1,quiet_kp4,full,87,0.19814404745046563,830
256,-1,quiet_kp4,full,90,0.1661379245412973,829
256,-1,quiet_kp4,full,93,0.1487493760467527,828
256,-1,quiet_kp4,full,96,0.17973092064435078,828
256,-1,quiet_kp4,full,99,0.1899277816147371,829
256,-1,quiet_kp4,full,102,0.15210682743367873,828
256,-1,quiet_kp4,full,105,0.1245968995909071,827
256,-1,quiet_kp4,full,108,0.1561149290879767,827
256,-1,quiet_kp4,full,111,0.18428887845340133,827
256,-1,quiet_kp4,full,114,0.14081429074481355,826
256,-1,quiet_kp4,full,117,0.11708972942476317,825
256,-1,quiet_kp4,full,120,0.16255588717573638,824
284,-1,quiet_kp4,full,0,0.2168120992427834,854
284,-1,quiet_kp4,full,3,0.23746796130820388,855
284,-1,quiet_kp4,full,6,0.21280629626717312,856
284,-1,quiet_kp4,full,9,0.19418920751972082,856
284,-1,quiet_kp4,full,12,0.22111475314072945,857
284,-1,quiet_kp4,full,15,0.2549817348618701,858
284,-1,quiet_kp4,full,18,0.22888316167142278,859
284,-1,quiet_kp4,full,21,0.2011850293356642,860
284,-1,quiet_kp4,full,24,0.22662489921864326,860
284,-1,quiet_kp4,full,27,0.24245782842034733,860
284,-1,quiet_kp4,full,30,0.22209461274065012,860
284,-1,quiet_kp4,full,33,0.20238003056044587,859
284,-1,quiet_kp4,full,36,0.22006466168289024,858
284,-1,quiet_kp4,full,39,0.2470606362851644,857
284,-1,quiet_kp4,full,42,0.21680419710329926,856
284,-1,quiet_kp4,full,45,0.1924645909586341,856
284,-1,quiet_kp4,full,48,0.2224337655844837,855
284,-1,quiet_kp4,full,51,0.24060945128951566,854
284,-1,quiet_kp4,full,54,0.2169082595405162,854
284,-1,quiet_kp4,full,57,0.19453620309494163,854
284,-1,quiet_kp4,full,60,0.21482280959216368,853
284,-1,quiet_kp4,full,63,0.2392673369309658,851
284,-1,quiet_kp4,full,66,0.21357229697666116,849
284,-1,quiet_kp4,full,69,0.18934430643997674,846
284,-1,quiet_kp4,full,72,0.21783567108577684,843
284,-1,quiet_kp4,full,75,0.2397004328439889,840
284,-1,quiet_kp4,full,78,0.20843543686354,837
284,-1,quiet_kp4,full,81,0.18954970167063212,835
284,-1,quiet_kp4,full,84,0.2217125395006656,832
284,-1,quiet_kp4,full,87,0.23787669785717272,830
284,-1,quiet_kp4,full,90,0.20386995087919726,829
284,-1,quiet_kp4,full,93,0.1859818154978941,828
284,-1,quiet_kp4,full,96,0.21907126669109947,828
284,-1,quiet_kp4,full,99,0.23118649665531588,829
284,-1,quiet_kp4,full,102,0.1951991267265243,828
284,-1,quiet_kp4,full,105,0.17296058954252974,827
284,-1,quiet_kp4,full,108,0.2086246249472621,827
284,-1,quiet_kp4,full,111,0.23636097123696465,827
284,-1,quiet_kp4,full,114,0.18941777096512408,826
284,-1,quiet_kp4,full,117,0.16216022088821172,825
284,-1,quiet_kp4,full,120,0.20920658173710585,824
304,-1,quiet_kp4,full,0,0.24146842034457888,854
304,-1,quiet_kp4,full,3,0.2665980486684768,855
304,-1,quiet_kp4,full,6,0.2432402503767571,856
304,-1,quiet_kp4,full,9,0.22285226474183367,856
304,-1,quiet_kp4,full,12,0.24653316181849755,857
304,-1,quiet_kp4,full,15,0.27968434400298,858
304,-1,quiet_kp4,full,18,0.25655020994924077,859
304,-1,quiet_kp4,full,21,0.22733868639124588,860
304,-1,quiet_kp4,full,24,0.2507637686883562,860
304,-1,quiet_kp4,full,27,0.26811522661384357,860
304,-1,quiet_kp4,full,30,0.2491854904277639,860
304,-1,quiet_kp4,full,33,0.22834940460898176,859
304,-1,quiet_kp4,full,36,0.24637657920640083,858
304,-1,quiet_kp4,full,39,0.27279268512815225,857
304,-1,quiet_kp4,full,42,0.2402111561414797,856
304,-1,quiet_kp4,full,45,0.21634259915593412,856
304,-1,quiet_kp4,full,48,0.24591479080726178,855
304,-1,quiet_kp4,full,51,0.25819012004479325,854
304,-1,quiet_kp4,full,54,0.23155649198332634,854
304,-1,quiet_kp4,full,57,0.2124485487737756,854
304,-1,quiet_kp4,full,60,0.23212940510860597,853
304,-1,quiet_kp4,full,63,0.251246226234159,851
304,-1,quiet_kp4,full,66,0.22384617798049278,849
304,-1,quiet_kp4,full,69,0.20026544897843812,846
304,-1,quiet_kp4,full,72,0.22470076030253142,843
304,-1,quiet_kp4,full,75,0.24296284838434132,840
304,-1,quiet_kp4,full,78,0.2108681172950129,837
304,-1,quiet_kp4,full,81,0.19530872508537023,835
304,-1,quiet_kp4,full,84,0.22847745040809994,832
304,-1,quiet_kp4,full,87,0.23838905022833975,830
304,-1,quiet_kp4,full,90,0.2035250247331172,829
304,-1,quiet_kp4,full,93,0.18567134240789074,828
304,-1,quiet_kp4,full,96,0.21878802103623768,828
