condition,geomag,wavelength,lag_hours,spearman_r,n
asymmetric,all,1216,21,0.7008648112972572,1658
asymmetric,all,1216,24,0.7005464837084091,1657
asymmetric,all,1216,27,0.7089414466244953,1656
asymmetric,all,1216,30,0.712960342819271,1655
asymmetric,all,1216,33,0.7033807490991443,1654
asymmetric,all,1216,36,0.6962881974494051,1653
asymmetric,all,1216,39,0.7025177788174249,1652
asymmetric,all,1216,42,0.708678226884553,1651
asymmetric,all,1216,45,0.705421616952379,1651
asymmetric,all,1216,48,0.7031258211960201,1651
asymmetric,all,1216,51,0.7102289836148103,1651
asymmetric,all,1216,54,0.7118078744957166,1651
asymmetric,all,1216,57,0.6997520829630799,1651
asymmetric,all,1216,60,0.6902472010839821,1651
asymmetric,all,1216,63,0.6935648955409919,1650
asymmetric,all,1216,66,0.6979975079175536,1649
asymmetric,all,1216,69,0.6930173635278094,1647
asymmetric,all,1216,72,0.6885841218992956,1645
asymmetric,all,1216,75,0.6937742640733892,1643
asymmetric,all,1216,78,0.6932649749489032,1641
asymmetric,all,1216,81,0.6798605225188954,1639
asymmetric,all,1216,84,0.6692208087591138,1637
asymmetric,all,1216,87,0.670807683465856,1636
asymmetric,all,1216,90,0.6738578308251745,1636
asymmetric,all,1216,93,0.6673505757408865,1636
asymmetric,all,1216,96,0.660712033748513,1636
asymmetric,all,1216,99,0.6630576917113677,1636
asymmetric,all,1216,102,0.6615826556472738,1636
asymmetric,all,1216,105,0.6463665150584145,1636
asymmetric,all,1216,108,0.6330283971587096,1636
asymmetric,all,1216,111,0.631916319604954,1635
asymmetric,all,1216,114,0.633970390269946,1633
asymmetric,all,1216,117,0.6265705992763361,1631
asymmetric,all,1216,120,0.6186280699448852,1629
asymmetric,all,1335,0,0.6737071517796308,1665
asymmetric,all,1335,3,0.6752706630262253,1664
asymmetric,all,1335,6,0.6790316125356373,1663
asymmetric,all,1335,9,0.6827593118939568,1662
asymmetric,all,1335,12,0.6844015343961909,1661
asymmetric,all,1335,15,0.686503249373323,1660
asymmetric,all,1335,18,0.6886600649966462,1659
asymmetric,all,1335,21,0.6928995925305009,1658
asymmetric,all,1335,24,0.6954880025446167,1657
asymmetric,all,1335,27,0.6966062112042835,1656
asymmetric,all,1335,30,0.6990678082892746,1655
asymmetric,all,1335,33,0.7013742979164224,1654
asymmetric,all,1335,36,0.7010770622479229,1653
asymmetric,all,1335,39,0.7008797316217937,1652
asymmetric,all,1335,42,0.7026980546478746,1651
asymmetric,all,1335,45,0.7046451799901686,1651
asymmetric,all,1335,48,0.7047641401705195,1651
asymmetric,all,1335,51,0.7033646934941477,1651
asymmetric,all,1335,54,0.7023448272000253,1651
asymmetric,all,1335,57,0.7008090241534789,1651
asymmetric,all,1335,60,0.6970748456134817,1651
asymmetric,all,1335,63,0.6929051701129267,1650
asymmetric,all,1335,66,0.6899292464822618,1649
asymmetric,all,1335,69,0.68837097436189,1647
asymmetric,all,1335,72,0.6847226097024891,1645
